,slot,period_1,period_2,measure,statistic,weighting,observed_statistic,null_mean,excess_over_null_mean,null_sd,null_q95,null_q99,p_value,n_permutations,significant_p_value_05,q_value_fdr,significant_fdr_05
0,type,1995-2000,2001-2005,tvd,weighted_tvd,True,0.05637931034482758,0.05830844193287971,-0.0019291315880521284,0.015685206139378866,0.08586206896551722,0.10381896551724135,0.5175292153589316,598,False,1.0,False
1,type,2001-2005,2006-2010,tvd,weighted_tvd,True,0.054913793103448266,0.03706216912290742,0.017851623980540847,0.011974938403266359,0.060948275862068954,0.07025862068965513,0.08264462809917356,241,False,0.2358815426997245,False
2,type,2006-2010,2011-2015,tvd,weighted_tvd,True,0.27682887528198513,0.10086968781964156,0.17595918746234357,0.026468719995807168,0.14550837898807603,0.17366661295520447,0.0027100271002710027,368,True,0.01546973803071364,True
3,type,2011-2015,2016-2020,tvd,weighted_tvd,True,0.34191083606971456,0.09164112097586377,0.25026971509385076,0.02692598409459101,0.14050265218489516,0.1667479161404395,0.002564102564102564,389,True,0.01546973803071364,True
4,type,2016-2020,2021-2025,tvd,weighted_tvd,True,0.13419432090318165,0.0635490884390169,0.07064523246416475,0.02077478267792718,0.10065001710571334,0.12100239479986316,0.008670520231213872,345,True,0.03299614643545279,True
