id,miss/V,chi_nsubj|chi_obl:agent
miss/mag_1928_254226_cleaned_part5.txt/114,['miss/V'],['who/nsubj']
miss/news_1910_679215_cleaned_part5.txt/60,['miss/V'],['which/nsubj']
miss/mag_1925_447883_cleaned_part92.txt/37,['miss/V'],['eye/nmod:poss']
miss/nf_1911_774005_cleaned_part105.txt/65,['miss/V'],['sloop/nmod:poss']
miss/mag_1923_253653_cleaned_part5.txt/76,['miss/V'],['d.-/nsubj']
miss/news_1918_684031_cleaned_part1.txt/62,['miss/V'],['which/nsubj']
miss/news_1917_683386_cleaned_part1.txt/64,['miss/V'],['some/nsubj']
miss/news_1922_688377_cleaned_part6.txt/11,['miss/V'],['ho/nsubj']
miss/mag_1929_490233_cleaned_part45.txt/45,['miss/V'],['1/nsubj']
miss/mag_1928_300287_cleaned_part7.txt/11,['miss/V'],['judge/nsubj']
miss/news_1923_689073_cleaned_part7.txt/74,['miss/V'],['b/nsubj']
miss/news_1928_695460_cleaned_part3.txt/54,['miss/V'],['daughter/nmod:poss']
miss/news_1912_679860_cleaned_part9.txt/48,['miss/V'],['rey/nsubj']
miss/news_1911_679653_cleaned_part9.txt/13,['miss/V'],['one/nsubj']
miss/mag_1926_490124_cleaned_part11.txt/61,['miss/V'],['kahn/nsubj']
miss/mag_1925_254478_cleaned_part1.txt/16,['miss/V'],['zaghlul/nsubj']
miss/mag_1928_490192_cleaned_part16.txt/41,['miss/V'],['thousands/nsubj']
miss/mag_1927_493382_cleaned_part5.txt/24,['miss/V'],['intellectual/amod']
miss/news_1916_682589_cleaned_part7.txt/5,['miss/V'],['colonel/nsubj']
miss/news_1910_678859_cleaned_part4.txt/28,['miss/V'],['who/nsubj']
miss/mag_1923_219958_cleaned_part2.txt/58,['miss/V'],['justice/nsubj']
miss/mag_1929_430994_cleaned_part48.txt/55,['miss/V'],['institutionalism/nsubj']
miss/mag_1921_467371_cleaned_part88.txt/79,['miss/V'],['button/nsubj']
miss/news_1928_694998_cleaned_part28.txt/3,['miss/V'],['aviation/nsubj']
miss/news_1914_681310_cleaned_part8.txt/11,['miss/V'],['other/nsubj']
miss/mag_1928_164526_cleaned_part1.txt/10,['miss/V'],['game/nmod:poss']
miss/news_1922_688336_cleaned_part2.txt/6,['miss/V'],['erie/nsubj']
miss/news_1917_683431_cleaned_part12.txt/67,['miss/V'],['who/nsubj']
miss/news_1914_681024_cleaned_part14.txt/25,['miss/V'],['daly/nsubj']
miss/mag_1924_493326_cleaned_part36.txt/73,['miss/V'],['which/nsubj']
miss/mag_1920_467201_cleaned_part26.txt/36,['miss/V'],['karl/nsubj']
miss/mag_1923_457167_cleaned_part47.txt/52,['miss/V'],['that/nsubj']
miss/mag_1929_301155_cleaned_part4.txt/10,['miss/V'],['who/nsubj']
miss/mag_1922_430882_cleaned_part32.txt/8,['miss/V'],['door/nsubj']
miss/mag_1927_152311_cleaned_part1.txt/76,['miss/V'],['t/compound']
miss/nf_1916_773620_cleaned_part67.txt/105,['miss/V'],['visitor/nsubj']
miss/mag_1922_430882_cleaned_part118.txt/102,['miss/V'],['rain/nsubj']
miss/mag_1927_490168_cleaned_part37.txt/20,['miss/V'],['who/nsubj']
miss/mag_1927_468333_cleaned_part65.txt/7,['miss/V'],['one/nsubj']
miss/nf_1919_755484_cleaned_part46.txt/43,['miss/V'],['ship/nmod:poss']
miss/nf_1917_771398_cleaned_part192.txt/51,['miss/V'],['one/nsubj']
miss/mag_1925_490106_cleaned_part21.txt/48,['miss/V'],['someone/nsubj']
miss/mag_1926_447736_cleaned_part64.txt/9,['miss/V'],['american/nsubj']
miss/mag_1921_430865_cleaned_part320.txt/85,['miss/V'],['wheel/nmod:poss']
miss/mag_1925_253812_cleaned_part2.txt/13,['miss/V'],['daddy/nsubj']
miss/mag_1928_493497_cleaned_part15.txt/40,['miss/V'],['lady/nsubj']
miss/mag_1928_254195_cleaned_part1.txt/19,['miss/V'],['stone/nsubj']
miss/mag_1926_490134_cleaned_part46.txt/150,['miss/V'],['who/nsubj']
miss/mag_1922_430877_cleaned_part19.txt/84,['miss/V'],['other/det']
miss/nf_1919_755877_cleaned_part817.txt/3,['miss/V'],['another/nsubj']
miss/mag_1927_493479_cleaned_part28.txt/71,['miss/V'],['people/nsubj']
miss/nf_1918_773940_cleaned_part58.txt/81,['miss/V'],['rome/nsubj']
miss/nf_1913_774353_cleaned_part145.txt/42,['miss/V'],['child/nsubj']
miss/nf_1916_773771_cleaned_part39.txt/102,['miss/V'],['steamship/compound']
miss/nf_1911_748876_cleaned_part291.txt/38,['miss/V'],['bullet/nmod:poss']
miss/news_1925_691949_cleaned_part11.txt/50,['miss/V'],['some/nsubj']
miss/news_1929_696875_cleaned_part1.txt/35,['miss/V'],['reviewer/nmod:poss']
miss/news_1927_693590_cleaned_part1.txt/23,['miss/V'],['mr.-/nsubj']
miss/news_1927_694466_cleaned_part1.txt/43,['miss/V'],['hawthorne/nsubj']
miss/nf_1919_772556_cleaned_part786.txt/18,['miss/V'],['kumar/nsubj']
miss/news_1928_695133_cleaned_part9.txt/57,['miss/V'],['some/nsubj']
miss/nf_1913_761343_cleaned_part495.txt/63,['miss/V'],['douglas/nsubj']
miss/news_1925_691581_cleaned_part1.txt/22,['miss/V'],['mr.-/nsubj']
miss/nf_1917_749170_cleaned_part414.txt/16,['miss/V'],['several/nsubj']
miss/news_1926_693188_cleaned_part27.txt/56,['miss/V'],['alex/nsubj']
miss/nf_1911_773417_cleaned_part325.txt/94,['miss/V'],['that/nsubj']
miss/news_1928_695131_cleaned_part6.txt/35,['miss/V'],['who/nsubj']
miss/nf_1917_769392_cleaned_part477.txt/58,['miss/V'],['that/nsubj']
miss/nf_1917_749170_cleaned_part610.txt/56,['miss/V'],['who/nsubj']
miss/news_1929_696183_cleaned_part8.txt/44,['miss/V'],['musical/nsubj']
miss/news_1928_694729_cleaned_part2.txt/39,['miss/V'],['gunn/nsubj']
miss/news_1921_686706_cleaned_part28.txt/34,['miss/V'],['carpentier/nsubj']
miss/news_1929_696118_cleaned_part2.txt/75,['miss/V'],['those/nsubj']
miss/news_1921_686706_cleaned_part32.txt/33,['miss/V'],['which/nsubj']
miss/news_1921_686706_cleaned_part34.txt/6,['miss/V'],['dempsey/nsubj']
miss/news_1921_686706_cleaned_part34.txt/22,['miss/V'],['carpentier/nsubj']
miss/news_1921_686706_cleaned_part35.txt/4,['miss/V'],['tier/compound']
miss/news_1929_695954_cleaned_part12.txt/32,['miss/V'],['those/nsubj']
miss/news_1929_695786_cleaned_part17.txt/45,['miss/V'],['who/nsubj']
miss/news_1929_696505_cleaned_part6.txt/36,['miss/V'],['reader/nmod:poss']
miss/news_1920_685485_cleaned_part7.txt/59,['miss/V'],['s.-a/nsubj']
miss/news_1924_689824_cleaned_part1.txt/46,['miss/V'],['beauty/nmod:poss']
miss/news_1925_691178_cleaned_part3.txt/36,['miss/V'],['which/nsubj']
miss/nf_1921_751181_cleaned_part478.txt/21,['miss/V'],['half/advmod']
miss/nf_1922_749948_cleaned_part809.txt/64,['miss/V'],['who/nsubj']
miss/nf_1923_774223_cleaned_part719.txt/16,['miss/V'],['whoever/nsubj']
