id,miss/V,chi_nsubj|chi_obl:agent
miss/fic_1921_483_cleaned_part1.txt/98,['miss/V'],['bud/nsubj']
miss/fic_1921_2669_cleaned_part1838.txt/33,['miss/V'],['murray/nsubj']
miss/fic_1918_3785_cleaned_part150.txt/4,['miss/V'],['peggy/nsubj']
miss/fic_1914_145_cleaned_part388.txt/46,['miss/V'],['importent/nsubj']
miss/fic_1922_1836_cleaned_part339.txt/57,['miss/V'],['which/nsubj']
miss/fic_1914_145_cleaned_part357.txt/31,['miss/V'],['penrod/nsubj']
miss/fic_1914_13910_cleaned_part75.txt/60,['miss/V'],['sand/nsubj']
miss/fic_1916_3612_cleaned_part988.txt/40,['miss/V'],['man/nmod:poss']
miss/fic_1920_1396_cleaned_part923.txt/54,['miss/V'],['fred/nsubj']
miss/fic_1914_2615_cleaned_part1229.txt/60,['miss/V'],['carl/nsubj']
miss/fic_1919_3153_cleaned_part458.txt/79,['miss/V'],['which/nsubj']
miss/fic_1921_3815_cleaned_part2002.txt/64,['miss/V'],['mona/nsubj']
miss/fic_1922_1836_cleaned_part701.txt/25,['miss/V'],['lila/nsubj']
miss/fic_1912_3459_cleaned_part28.txt/40,['miss/V'],['abel/nsubj']
miss/fic_1920_3319_cleaned_part446.txt/30,['miss/V'],['public/amod']
miss/fic_1913_481_cleaned_part27.txt/42,['miss/V'],['father/nsubj']
miss/fic_1920_1396_cleaned_part1073.txt/8,['miss/V'],['one/det']
miss/fic_1920_1396_cleaned_part1074.txt/6,['miss/V'],['man/nmod:poss']
miss/fic_1920_1396_cleaned_part1077.txt/89,['miss/V'],['each/nsubj']
miss/fic_1910_3502_cleaned_part1012.txt/77,['miss/V'],['each/nsubj']
miss/fic_1912_1582_cleaned_part259.txt/30,['miss/V'],['dainty/nsubj']
miss/fic_1921_5302_cleaned_part807.txt/10,['miss/V'],['that/nsubj']
miss/fic_1920_3375_cleaned_part654.txt/3,['miss/V'],['harry/nsubj']
miss/fic_1912_14630_cleaned_part489.txt/31,['miss/V'],['nobody/nsubj']
miss/fic_1922_1547_cleaned_part195.txt/84,['miss/V'],['friend/nmod:poss']
miss/fic_1910_1487_cleaned_part55.txt/17,['miss/V'],['what/nsubj']
miss/fic_1913_4403_cleaned_part1232.txt/59,['miss/V'],['something/nsubj']
miss/fic_1921_5230_cleaned_part1419.txt/9,['miss/V'],['motor/nmod:poss']
miss/fic_1911_5835_cleaned_part1393.txt/40,['miss/V'],['karen/nsubj']
miss/fic_1921_305_cleaned_part472.txt/10,['miss/V'],['one/nsubj']
miss/fic_1913_5228_cleaned_part59.txt/41,['miss/V'],['phil/nsubj']
miss/fic_1921_305_cleaned_part674.txt/49,['miss/V'],['linda/nsubj']
miss/fic_1924_2687_cleaned_part952.txt/35,['miss/V'],['hugh/nsubj']
miss/fic_1921_1256_cleaned_part2295.txt/74,['miss/V'],['which/nsubj']
miss/fic_1921_3246_cleaned_part618.txt/55,['miss/V'],['nothing/nsubj']
miss/fic_1918_1051_cleaned_part875.txt/20,['miss/V'],['kate/nsubj']
miss/fic_1920_1800_cleaned_part428.txt/35,['miss/V'],['husband/nmod:poss']
miss/fic_1916_1760_cleaned_part236.txt/43,['miss/V'],['who/nsubj']
miss/fic_1922_4266_cleaned_part421.txt/28,['miss/V'],"['mata/nsubj', 'mother/nsubj']"
miss/fic_1916_2948_cleaned_part319.txt/58,['miss/V'],['lawrence/nsubj']
miss/fic_1916_3504_cleaned_part737.txt/36,['miss/V'],['father/nmod:poss']
miss/fic_1922_3477_cleaned_part582.txt/6,['miss/V'],['what/nsubj']
miss/fic_1915_2358_cleaned_part159.txt/18,['miss/V'],['jack/nsubj']
miss/fic_1919_1548_cleaned_part433.txt/20,['miss/V'],"['this/nsubj', 'mr.-/nsubj']"
miss/fic_1918_1051_cleaned_part1202.txt/67,['miss/V'],['all/nsubj']
miss/fic_1922_3477_cleaned_part696.txt/5,['miss/V'],['doctor/nsubj']
miss/fic_1910_5623_cleaned_part168.txt/56,['miss/V'],['partner/nmod:poss']
miss/fic_1920_1800_cleaned_part752.txt/55,['miss/V'],['ruth/nsubj']
miss/fic_1915_2787_cleaned_part346.txt/66,['miss/V'],['mr.-/nsubj']
miss/fic_1919_3698_cleaned_part377.txt/54,['miss/V'],['nobody/nsubj']
miss/fic_1920_550_cleaned_part937.txt/7,['miss/V'],['reporter/nsubj']
miss/fic_1922_2297_cleaned_part1602.txt/38,['miss/V'],['doug/nsubj']
miss/fic_1917_13495_cleaned_part305.txt/4,['miss/V'],['maria/nsubj']
miss/fic_1922_2566_cleaned_part664.txt/102,['miss/V'],['countryman/nmod:poss']
miss/fic_1916_2860_cleaned_part2.txt/80,['miss/V'],['eye/nmod:poss']
miss/fic_1912_3500_cleaned_part601.txt/34,['miss/V'],['trail/nmod:poss']
miss/fic_1915_13926_cleaned_part774.txt/26,['miss/V'],['ball/nmod:poss']
miss/fic_1915_2358_cleaned_part627.txt/3,['miss/V'],['davis/nsubj']
miss/fic_1915_2787_cleaned_part756.txt/46,['miss/V'],['heart/nmod:poss']
miss/fic_1922_3396_cleaned_part375.txt/5,['miss/V'],['miss/nsubj']
miss/fic_1918_380_cleaned_part353.txt/35,['miss/V'],['burro/nsubj']
miss/fic_1913_4676_cleaned_part408.txt/75,['miss/V'],['pistol/nmod:poss']
miss/fic_1928_14118_cleaned_part40.txt/20,['miss/V'],['who/nsubj']
miss/fic_1922_2523_cleaned_part241.txt/28,['miss/V'],['life/nmod:poss']
miss/fic_1921_2435_cleaned_part280.txt/62,['miss/V'],['heart/nmod:poss']
miss/fic_1914_4332_cleaned_part71.txt/66,['miss/V'],['that/nsubj']
miss/fic_1913_4676_cleaned_part486.txt/7,['miss/V'],['jarrow/nsubj']
miss/fic_1913_4840_cleaned_part501.txt/83,['miss/V'],['who/nsubj']
miss/fic_1912_3500_cleaned_part884.txt/21,['miss/V'],['nobody/nsubj']
miss/fic_1929_1399_cleaned_part45.txt/74,['miss/V'],['norah/nsubj']
miss/fic_1921_3531_cleaned_part27.txt/10,['miss/V'],['one/det']
miss/fic_1910_5623_cleaned_part922.txt/72,['miss/V'],['companion/nmod:poss']
miss/fic_1929_1399_cleaned_part164.txt/4,['miss/V'],['one/det']
miss/fic_1921_4627_cleaned_part2245.txt/14,['miss/V'],['heart/nmod:poss']
miss/fic_1911_2319_cleaned_part185.txt/8,['miss/V'],['brill/nsubj']
miss/fic_1918_380_cleaned_part717.txt/43,['miss/V'],['lovin/nsubj']
miss/fic_1917_1262_cleaned_part26.txt/33,['miss/V'],['look/nmod:poss']
miss/fic_1914_3474_cleaned_part791.txt/47,['miss/V'],['john/nsubj']
miss/fic_1918_380_cleaned_part860.txt/58,['miss/V'],['kid/nsubj']
miss/fic_1910_5623_cleaned_part1203.txt/81,['miss/V'],['dog/nmod:poss']
miss/fic_1921_3420_cleaned_part220.txt/57,['miss/V'],['henry/nsubj']
miss/fic_1923_239_cleaned_part650.txt/37,['miss/V'],['neither/nsubj']
miss/fic_1925_13340_cleaned_part913.txt/10,['miss/V'],"[""o'riley/nsubj""]"
miss/fic_1921_3420_cleaned_part466.txt/8,['miss/V'],['peg/nsubj']
miss/fic_1922_1944_cleaned_part309.txt/27,['miss/V'],['marmaduke/nsubj']
miss/fic_1910_3293_cleaned_part556.txt/77,['miss/V'],['which/nsubj']
miss/fic_1913_1776_cleaned_part132.txt/18,['miss/V'],['mr.-/nsubj']
miss/fic_1917_1915_cleaned_part14.txt/50,['miss/V'],['joy/nsubj']
miss/fic_1920_2360_cleaned_part967.txt/16,['miss/V'],['nobody/nsubj']
miss/fic_1918_3645_cleaned_part35.txt/30,['miss/V'],['one/det']
miss/fic_1921_2488_cleaned_part196.txt/20,['miss/V'],['nothing/nsubj']
miss/fic_1919_3029_cleaned_part197.txt/78,['miss/V'],['one/nsubj']
miss/fic_1925_16214_cleaned_part1217.txt/81,['miss/V'],['one/det']
miss/fic_1921_5695_cleaned_part1620.txt/75,['miss/V'],['peter/nsubj']
miss/fic_1911_1481_cleaned_part159.txt/75,['miss/V'],['leslie/nsubj']
miss/fic_1921_5695_cleaned_part1655.txt/8,['miss/V'],['one/nsubj']
miss/fic_1918_3115_cleaned_part387.txt/61,['miss/V'],['alicia/nsubj']
miss/fic_1911_2319_cleaned_part879.txt/21,['miss/V'],['allan/nsubj']
miss/fic_1916_465_cleaned_part226.txt/24,['miss/V'],['mr.-/nsubj']
miss/fic_1912_388_cleaned_part150.txt/40,['miss/V'],['that/nsubj']
miss/fic_1919_3029_cleaned_part305.txt/40,['miss/V'],['wife/nmod:poss']
miss/fic_1913_4840_cleaned_part1467.txt/76,['miss/V'],['something/nsubj']
miss/fic_1913_4840_cleaned_part1480.txt/104,['miss/V'],['something/nsubj']
miss/fic_1916_3807_cleaned_part125.txt/21,['miss/V'],['wife/nmod:poss']
miss/fic_1924_220_cleaned_part78.txt/40,['miss/V'],['skipper/nmod:poss']
miss/fic_1919_3067_cleaned_part616.txt/11,['miss/V'],['hen/nsubj']
miss/fic_1913_1776_cleaned_part362.txt/56,['miss/V'],['anybody/nsubj']
miss/fic_1920_2502_cleaned_part198.txt/40,['miss/V'],['shot/nmod:poss']
miss/fic_1922_368_cleaned_part1334.txt/40,['miss/V'],['none/nsubj']
miss/fic_1914_5125_cleaned_part230.txt/80,['miss/V'],['something/nsubj']
miss/fic_1922_1944_cleaned_part783.txt/59,['miss/V'],['marmaduke/nsubj']
miss/fic_1924_220_cleaned_part75.txt/36,['miss/V'],['hand/nmod:poss']
miss/fic_1920_2975_cleaned_part1642.txt/13,['miss/V'],['train/nmod:poss']
miss/fic_1921_5699_cleaned_part914.txt/60,['miss/V'],['who/nsubj']
miss/fic_1921_2501_cleaned_part786.txt/6,['miss/V'],['monte/nsubj']
miss/fic_1921_3298_cleaned_part444.txt/63,['miss/V'],['hat/nmod:poss']
miss/fic_1920_13941_cleaned_part70.txt/32,['miss/V'],['sterrett/nsubj']
miss/fic_1925_14008_cleaned_part674.txt/52,['miss/V'],['that/nsubj']
miss/fic_1921_5695_cleaned_part2272.txt/53,['miss/V'],['anastasie/nsubj']
miss/fic_1918_3115_cleaned_part1049.txt/56,['miss/V'],['each/nsubj']
miss/fic_1910_3293_cleaned_part1486.txt/88,['miss/V'],['who/nsubj']
miss/fic_1918_3115_cleaned_part1211.txt/8,['miss/V'],['dorothy/nsubj']
miss/fic_1927_14374_cleaned_part399.txt/22,['miss/V'],['evans/nsubj']
miss/fic_1917_14622_cleaned_part116.txt/5,['miss/V'],['petrowski/nsubj']
miss/fic_1928_13484_cleaned_part22.txt/47,['miss/V'],['mrs.-/nsubj']
miss/fic_1928_13484_cleaned_part22.txt/55,['miss/V'],['kiss/nsubj']
miss/fic_1912_1583_cleaned_part215.txt/28,['miss/V'],['companion/nmod:poss']
miss/fic_1921_3298_cleaned_part970.txt/9,['miss/V'],['aunt/nsubj']
miss/fic_1921_3298_cleaned_part985.txt/68,['miss/V'],['that/nsubj']
miss/fic_1914_5125_cleaned_part1013.txt/23,['miss/V'],['the/nsubj']
miss/fic_1917_2199_cleaned_part786.txt/29,['miss/V'],['nothing/nsubj']
miss/fic_1914_3501_cleaned_part270.txt/120,['miss/V'],['bessie/nsubj']
miss/fic_1917_14066_cleaned_part915.txt/5,['miss/V'],['uncle/nsubj']
miss/fic_1922_2522_cleaned_part873.txt/63,['miss/V'],['something/nsubj']
miss/fic_1922_461_cleaned_part461.txt/33,['miss/V'],['witness/nsubj']
miss/fic_1917_14066_cleaned_part895.txt/24,['miss/V'],['uncle/nsubj']
miss/fic_1922_2326_cleaned_part56.txt/26,['miss/V'],['bill/amod']
miss/fic_1914_5125_cleaned_part1155.txt/34,['miss/V'],['who/nsubj']
miss/fic_1912_1583_cleaned_part433.txt/15,['miss/V'],['han/nsubj']
miss/fic_1922_4933_cleaned_part923.txt/20,['miss/V'],['cousin/nsubj']
miss/fic_1927_14374_cleaned_part797.txt/29,['miss/V'],['jessie/nsubj']
miss/fic_1922_2197_cleaned_part264.txt/35,['miss/V'],['that/nsubj']
miss/fic_1917_2199_cleaned_part1074.txt/83,['miss/V'],['the/nsubj']
miss/fic_1922_2522_cleaned_part1110.txt/48,['miss/V'],['who/nsubj']
miss/fic_1918_5728_cleaned_part1476.txt/99,['miss/V'],['mr.-/nsubj']
miss/fic_1918_5728_cleaned_part1477.txt/23,['miss/V'],['mr.-/nsubj']
miss/fic_1920_284_cleaned_part148.txt/121,['miss/V'],['amory/nsubj']
miss/fic_1926_14117_cleaned_part351.txt/17,['miss/V'],['mago/nsubj']
miss/fic_1916_465_cleaned_part871.txt/109,['miss/V'],['william/nsubj']
miss/fic_1918_3832_cleaned_part486.txt/16,['miss/V'],['polly/nsubj']
miss/fic_1917_5127_cleaned_part42.txt/96,['miss/V'],['one/det']
miss/fic_1920_284_cleaned_part181.txt/128,['miss/V'],['what/nsubj']
miss/fic_1917_5127_cleaned_part74.txt/31,['miss/V'],['one/det']
miss/fic_1920_2811_cleaned_part1795.txt/61,['miss/V'],['kitty/nsubj']
miss/fic_1917_776_cleaned_part1982.txt/54,['miss/V'],['maxie/nsubj']
miss/mag_1919_430823_cleaned_part55.txt/25,['miss/V'],['who/nsubj']
miss/fic_1914_5125_cleaned_part1990.txt/48,['miss/V'],['river/compound']
miss/mag_1915_487182_cleaned_part211.txt/105,['miss/V'],['iambic/nsubj']
miss/mag_1912_487139_cleaned_part22.txt/3,['miss/V'],['one/nsubj']
miss/fic_1917_776_cleaned_part2375.txt/23,['miss/V'],['one/nsubj']
miss/news_1913_680801_cleaned_part35.txt/35,['miss/V'],['merkle/nsubj']
miss/mag_1920_430831_cleaned_part32.txt/4,['miss/V'],['people/nmod:poss']
miss/news_1913_680801_cleaned_part15.txt/23,['miss/V'],['barry/nsubj']
miss/mag_1927_493480_cleaned_part34.txt/52,['miss/V'],['one/nsubj']
miss/fic_1922_3478_cleaned_part722.txt/19,['miss/V'],['viola/nsubj']
miss/mag_1928_254168_cleaned_part2.txt/46,['miss/V'],['who/nsubj']
miss/fic_1921_1149_cleaned_part779.txt/11,['miss/V'],['philip/nsubj']
miss/fic_1922_3478_cleaned_part769.txt/64,['miss/V'],['horse/nmod:poss']
miss/mag_1910_486695_cleaned_part49.txt/30,['miss/V'],['one/nsubj']
miss/mag_1926_447680_cleaned_part13.txt/40,['miss/V'],['some/nsubj']
miss/fic_1922_5627_cleaned_part1295.txt/5,['miss/V'],['roger/nsubj']
miss/mag_1912_430508_cleaned_part101.txt/14,['miss/V'],['none/nsubj']
miss/mag_1920_433751_cleaned_part8.txt/40,['miss/V'],['2/nsubj']
miss/mag_1917_430751_cleaned_part9.txt/55,['miss/V'],['who/nsubj']
miss/mag_1925_486194_cleaned_part4.txt/431,['miss/V'],['record/nsubj']
miss/fic_1917_3499_cleaned_part703.txt/5,['miss/V'],['pity/nsubj']
miss/mag_1929_152115_cleaned_part2.txt/24,['miss/V'],['who/nsubj']
miss/fic_1922_1726_cleaned_part985.txt/5,['miss/V'],"['mcleod/nsubj', 'mighty/det']"
miss/mag_1911_430486_cleaned_part41.txt/70,['miss/V'],['one/nsubj']
miss/fic_1922_4451_cleaned_part1050.txt/36,['miss/V'],['mother/nmod:poss']
miss/mag_1911_465620_cleaned_part24.txt/62,['miss/V'],['al/nsubj']
miss/mag_1924_152005_cleaned_part6.txt/43,['miss/V'],['captain/nsubj']
miss/fic_1921_1475_cleaned_part145.txt/45,['miss/V'],['shot/nmod:poss']
miss/mag_1915_430620_cleaned_part2.txt/38,['miss/V'],['who/nsubj']
miss/fic_1920_3348_cleaned_part955.txt/26,['miss/V'],['who/nsubj']
