id,subfolder,target,Number,Degree,Case,Gender,Variant
viral/deu_news_2025_1M-sentences.txt/4139047,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/4140408,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/4179513,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/4565315,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/4575183,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/4748099,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/4790592,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/4861067,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/5314384,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/5499727,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/5693200,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/5804758,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/6033872,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/6034231,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/6034319,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/6487556,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/6870206,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/7210784,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/7453280,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/7493108,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/7655701,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/7668583,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/7736966,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/7894917,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/8085592,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/8085768,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/8158818,2021-2025,"[('viral/ADJ',)]","[('Plur',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/8316898,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/8820360,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/8872782,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9104126,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/9158137,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9177941,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9222248,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9223583,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],[],[]
viral/deu_news_2025_1M-sentences.txt/9243211,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9245864,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9248191,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9292999,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9386910,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9387114,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9387144,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9388541,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]","[('Nom',)]","[('Masc',)]",[]
viral/deu_news_2025_1M-sentences.txt/9388566,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/9388582,2021-2025,"[('viral/ADJ',)]","[('Sing',)]","[('Pos',)]",[],"[('Neut',)]",[]
viral/deu_news_2025_1M-sentences.txt/9457620,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/9684391,2021-2025,"[('viral/ADJ',)]","[('Plur',)]",[],"[('Dat',)]",[],[]
viral/deu_news_2025_1M-sentences.txt/10027446,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/10090822,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/10455311,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/10499736,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/10499765,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/10599820,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/11307907,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/11328871,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/11393102,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/11412724,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/11487937,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
viral/deu_news_2025_1M-sentences.txt/11862279,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/11885003,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/12685174,2021-2025,"[('viral/ADJ',)]",[],"[('Pos',)]",[],[],"[('Short',)]"
viral/deu_news_2025_1M-sentences.txt/12686008,2021-2025,"[('viral/ADJ',)]","[('Sing',)]",[],[],[],[]
