,slot,period_1,period_2,measure,statistic,weighting,observed_statistic,null_mean,excess_over_null_mean,null_sd,null_q95,null_q99,p_value,n_permutations,significant_p_value_05,q_value_fdr,significant_fdr_05
0,construction,1995-2000,2001-2005,tvd,weighted_tvd,True,0.04106382978723405,0.0365771670931333,0.0044866626941007515,0.012666968613039743,0.06021276595744681,0.07085106382978723,0.3207236842105263,607,False,0.9153988486842105,False
1,construction,2001-2005,2006-2010,tvd,weighted_tvd,True,0.024545454545454537,0.0312933458294283,-0.00674789128397376,0.01047972355831557,0.05122727272727272,0.06363636363636364,0.764102564102564,194,False,1.0,False
2,construction,2006-2010,2011-2015,tvd,weighted_tvd,True,0.14663797740720813,0.09249004160396564,0.054147935803242495,0.024527060707932438,0.14168908015061857,0.16762130177514795,0.045454545454545456,395,True,0.17297979797979798,False
3,construction,2011-2015,2016-2020,tvd,weighted_tvd,True,0.36688582073197457,0.08832627562983231,0.27855954510214226,0.02906298206874394,0.14721674337058951,0.17380495288187595,0.002680965147453083,372,True,0.0306076854334227,True
4,construction,2016-2020,2021-2025,tvd,weighted_tvd,True,0.14355450857217641,0.06522896609272738,0.07832554247944903,0.021390459996307246,0.10637351132050779,0.12839942415914146,0.005681818181818182,351,True,0.03243371212121212,True
