,slot,period_1,period_2,measure,statistic,weighting,observed_statistic,null_mean,excess_over_null_mean,null_sd,null_q95,null_q99,p_value,n_permutations,significant_p_value_05,q_value_fdr,significant_fdr_05
0,type,1995-2000,2001-2005,tvd,weighted_tvd,True,0.07225691347011597,0.14352443784073707,-0.0712675243706211,0.05838747973262665,0.25289919714540593,0.29925066904549513,0.9122257053291536,637,False,1.0,False
1,type,2001-2005,2006-2010,tvd,weighted_tvd,True,0.09210526315789475,0.12235612395474667,-0.030250860796851922,0.0454361452530842,0.19967105263157892,0.23026315789473686,0.7209302325581395,214,False,1.0,False
2,type,2006-2010,2011-2015,tvd,weighted_tvd,True,0.16731643924626377,0.07471950923981086,0.09259693000645292,0.02821987799353677,0.12703324669698937,0.14356670998483856,0.002577319587628866,387,True,0.015262923351158643,True
3,type,2011-2015,2016-2020,tvd,weighted_tvd,True,0.25991689833497744,0.05663344197547961,0.20328345635949782,0.02317884206282479,0.0963301746729242,0.1093179485646528,0.00267379679144385,373,True,0.015262923351158643,True
4,type,2016-2020,2021-2025,tvd,weighted_tvd,True,0.08648446756993457,0.03908943819204382,0.047395029377890745,0.016330046434221424,0.06753928185049714,0.08240430683632992,0.010135135135135136,295,True,0.03856981981981982,True
